file_joint,mapped_name,mapped_type,exists_in_skeleton1_hanim
hanim_humanoid_root,humanoid_root,HAnimJoint,True
sacrum_joint,sacroiliac,HAnimJoint,False
coccyx_joint,coccyx,HAnimSegment,True
sympubis_joint,pubis,HAnimSegment,False
l5_joint,vl5,HAnimJoint,False
l5disc_joint,l5disc,HAnimSegment,True
l4_joint,vl4,HAnimJoint,False
l4disk_joint,l4disk,HAnimSegment,True
l3_joint,vl3,HAnimJoint,False
l3disk_joint,l3disk,HAnimSegment,True
l2_joint,vl2,HAnimJoint,False
l2disk_joint,l2disk,HAnimSegment,True
l1disk_joint,l1disk,HAnimSegment,True
lum_joint,vl1,HAnimJoint,False
t12disc_joint,t12disc,HAnimSegment,True
t12_joint,vt12,HAnimJoint,False
t11disc_joint,t11disc,HAnimSegment,True
t11_joint,vt11,HAnimJoint,False
t10disc_joint,t10disc,HAnimSegment,True
t10_joint,vt10,HAnimJoint,False
t9disc_joint,t9disc,HAnimSegment,True
t9_joint,vt9,HAnimJoint,False
t8disc_joint,t8disc,HAnimSegment,True
t8_joint,vt8,HAnimJoint,False
t7disc_joint,t7disc,HAnimSegment,True
t7_joint,vt7,HAnimJoint,False
t6disc_joint,t6disc,HAnimSegment,True
t6_joint,vt6,HAnimJoint,False
t5disc_joint,t5disc,HAnimSegment,True
t5_joint,vt5,HAnimJoint,False
t4disc_joint,t4disc,HAnimSegment,True
t4_joint,vt4,HAnimJoint,False
t3disc_joint,t3disc,HAnimSegment,True
t3_joint,vt3,HAnimJoint,False
t2disc_joint,t2disc,HAnimSegment,True
t2_joint,vt2,HAnimJoint,False
t1disc_joint,t1disc,HAnimSegment,True
t_joint,vt1,HAnimJoint,False
c7_joint,vc7,HAnimJoint,False
c7disc_joint,c7disc,HAnimSegment,True
c6_joint,vc6,HAnimJoint,False
c6disc_joint,c6disc,HAnimSegment,True
c5_joint,vc5,HAnimJoint,False
c5disc_joint,c5disc,HAnimSegment,True
c4_joint,vc4,HAnimJoint,False
c4disc_joint,c4disc,HAnimSegment,True
c3_joint,vc3,HAnimJoint,False
c3disc_joint,c3disc,HAnimSegment,True
c2disc_joint,c2disc,HAnimSegment,True
axis_joint,vc2,HAnimJoint,False
atlas_joint,vc1,HAnimJoint,False
occip_joint,skullbase,HAnimJoint,False
frontal_joint,frontal,HAnimSegment,True
parietl_joint,l_parietal,HAnimSegment,False
parietr_joint,r_parietal,HAnimSegment,False
sphenoid_joint,sphenoid,HAnimSegment,True
ethmoid_joint,ethmoid,HAnimSegment,True
ethmoid2_joint,ethmoid2,HAnimSegment,True
vom_joint,vomer,HAnimSegment,False
nasall_joint,l_nasal,HAnimSegment,False
nasalr_joint,r_nasal,HAnimSegment,False
lacl_joint,l_lacrimal,HAnimSegment,False
lacr_joint,r_lacrimal,HAnimSegment,False
templ_joint,l_temporomandibular,HAnimJoint,False
tempr_joint,r_temporomandibular,HAnimJoint,False
zygol_joint,l_zygomatic,HAnimSegment,False
zygor_joint,r_zygomatic,HAnimSegment,False
mand_joint,temporomandibular,HAnimJoint,False
maxl_joint,l_maxilla,HAnimSegment,False
maxr_joint,r_maxilla,HAnimSegment,False
inconl_joint,l_incisive,HAnimSegment,False
inconr_joint,r_incisive,HAnimSegment,False
palatl_joint,l_palatine,HAnimSegment,False
palatr_joint,r_palatine,HAnimSegment,False
lcenincc_joint,l_max_central_inc,HAnimSegment,False
lcenincr_joint,l_max_central_inc_root,HAnimSegment,False
llatincc_joint,l_max_lateral_inc,HAnimSegment,False
llatincr_joint,l_max_lateral_inc_root,HAnimSegment,False
lcaninec_joint,l_max_canine,HAnimSegment,False
lcaniner_joint,l_max_canine_root,HAnimSegment,False
lpreo1lc_joint,l_max_premolar1,HAnimSegment,False
lpreol1r_joint,l_max_premolar1_root,HAnimSegment,False
lpreol2c_joint,l_max_premolar2,HAnimSegment,False
lpreol2r_joint,l_max_premolar2_root,HAnimSegment,False
lmolar1c_joint,l_max_molar1,HAnimSegment,False
lmolar1r_joint,l_max_molar1_root,HAnimSegment,False
lmolar2c_joint,l_max_molar2,HAnimSegment,False
lmolar2r_joint,l_max_molar2_root,HAnimSegment,False
lmolar3c_joint,l_max_molar3,HAnimSegment,False
lmolar3r_joint,l_max_molar3_root,HAnimSegment,False
rcenincc_joint,r_max_central_inc,HAnimSegment,False
rcenincr_joint,r_max_central_inc_root,HAnimSegment,False
rlatincc_joint,r_max_lateral_inc,HAnimSegment,False
rlatincr_joint,r_max_lateral_inc_root,HAnimSegment,False
rcaninec_joint,r_max_canine,HAnimSegment,False
